file_name,transcription
audio/07_F_set_01_001.wav,ഹ്രസ്വ ചര്‍ച്ചയ്ക്കും സാധ്യതയുണ്ടെന്നു കാര്യമന്ത്രി സൂചിപ്പിച്ചു 
audio/07_F_set_01_002.wav,ഹ്രസ്വദൂര പ്രതിരോധത്തിന് ഒത്തുചേരും 
audio/07_F_set_01_003.wav,ഹ്രസ്വചിത്ര പരമ്പര നിര്‍മിക്കുന്നത് വിദ്യാലയത്തിലെ അധികൃതരും കുട്ടികളും സംയുക്തമായാണ് 
audio/07_F_set_01_004.wav,ഹൈന്ദവാചാരത്തില്‍ കുഞ്ഞ് ജനിച്ച് ഇരുപത്തിയെട്ടാം നാള്‍ നടക്കുന്ന ചടങ്ങാണ് ഇരുപത്തിയെട്ട് കെട്ട് 
audio/07_F_set_01_005.wav,ഹൃദയാഘാതം ഉണ്ടാകുന്നതിനുള്ള സാധ്യത കുറയ്ക്കാനുള്ള മറ്റുപകരണങ്ങളുമാണ് എന്നായിരുന്നു പെട്ടിയില്‍ രേഖപ്പെടുത്തിയിരുന്നത് 
audio/07_F_set_01_006.wav,ഹൃദയശൂന്യനായ വ്യവസായിയെപ്പോലെ പെരുമാറരുത് 
audio/07_F_set_01_007.wav,ഹൃദയം നിറഞ്ഞു കവിഞ്ഞൊഴുകിയ ആനന്ദാശ്രു കാണ്‍കെ മനം കുളിര്‍ത്തു 
audio/07_F_set_01_008.wav,ഹിന്ദുമത മൌലിക വാദികള്‍ പറയുന്നുവെന്നതു കൊണ്ടു മാത്രം ഏകീകൃത നിയമത്തെ എതിര്‍ക്കേണ്ടതില്ല 
audio/07_F_set_01_009.wav,ഹിന്ദുത്വത്തില്‍ അധിഷ്ഠിതമായി മാത്രമേ അയാള്‍ നിലനില്‍ക്കു 
audio/07_F_set_01_010.wav,ഹാജിമാര്‍ക്ക് തിരുഗേഹങ്ങളുടെ സേവകന്‍ ആതിഥ്യമരുളും 
audio/07_F_set_01_011.wav,ഹാജരായ പ്രതികളെ പൂര്‍ണമായി നിരോധിക്കുന്നതു പ്രായോഗികമാവില്ലെന്നും കേന്ദ്രസര്‍ക്കാരിനും ഇതേ അഭിപ്രായമാണ് 
audio/07_F_set_01_012.wav,ഹാജരാകാന്‍ മുപ്പതോളം പേര്‍ക്കു സമിതി സൂചന അയച്ചെങ്കിലും പത്തില്‍ താഴെപ്പേര്‍ മാത്രമാണ് ഹാജരായത് 
audio/07_F_set_01_013.wav,ഹര്‍ത്താല്‍ അനുകൂലികള്‍ കുറുകെയിട്ട തെങ്ങിന്‍ തടിയില്‍ തട്ടി പരിക്കേറ്റ് ചികിത്സയിലായിരുന്ന യാത്രികന്‍ നിര്യാതനായി 
audio/07_F_set_01_014.wav,ഹര്‍ജി പരിഗണിക്കുന്നതില്‍ നിന്ന് പിന്‍മാറി 
audio/07_F_set_01_015.wav,ഹര്‍ജിയിന്‍‌ മേല്‍ തിങ്കളാഴ്ച നടന്ന വാദത്തില്‍ ഹാജരായി 
audio/07_F_set_01_016.wav,ഹരിത വിപ്ലവ കാലഘട്ടത്തില്‍ നിന്നു തുലോം വ്യത്യസ്തമാണെന്നാണ് കണ്ടെത്തല്‍ 
audio/07_F_set_01_017.wav,സൌഹൃദ മനോഭാവത്തെ ഒതുക്കാന്‍ ശ്രമിക്കരുതെന്നു നിര്‍ദ്ദേശിച്ചു 
audio/07_F_set_01_018.wav,സ്വൈര ജീവിതം തകര്‍ക്കാന്‍ വര്‍ഗീയ തീവ്രവാദികള്‍ നടത്തുന്ന ശ്രമങ്ങളെ അമര്‍ച്ച ചെയ്യണം 
audio/07_F_set_01_019.wav,സ്വാശ്രയത്തില്‍ കസേര വര്‍ധിപ്പിക്കല്‍ പ്രായോഗികമല്ല 
audio/07_F_set_01_020.wav,സ്വാമി ജ്യോതിര്‍മയയുടെ പ്രഭാഷണവും ഇതോടൊപ്പമുണ്ടായിരുന്നു 
audio/07_F_set_01_021.wav,സ്വാധീന ശക്തിയുള്ള മേഖലയാണ് കുഴല്‍ മന്ദം 
audio/07_F_set_01_022.wav,സ്വാതന്ത്ര്യാനന്തര ഭാരതത്തില്‍ നേതൃത്വത്തിലെത്തിയ മന്ത്രിസഭയിലുണ്ടായിരുന്നവര്‍ നല്ല വായനക്കാരും പ്രതിഭകളുമായിരുന്നു 
audio/07_F_set_01_023.wav,സ്വാതന്ത്ര്യം ലഭിച്ചപ്പോള്‍ പ്രധാനമന്ത്രി ആരെന്നു തീരുമാനിക്കല്‍ ആയിരുന്നില്ല 
audio/07_F_set_01_024.wav,സ്വാഗതവും നന്ദിയും പറഞ്ഞു 
audio/07_F_set_01_025.wav,സ്വാഗതവും നന്ദിയും ഒരേയാളാണ് പറഞ്ഞത് 
audio/07_F_set_01_026.wav,സ്വര്‍ണ സമ്പാദ്യ പദ്ധതി അവതരിപ്പിച്ചു 
audio/07_F_set_01_027.wav,സ്വര്‍ണം നേടുന്ന ആദ്യത്തെ കളിക്കാരനും ലോകകിരീടം നേടുന്ന ആദ്യ താരവുമാണ് 
